text,label
"Government announces new policy for education reform",REAL
"Aliens landed in New York yesterday night",FAKE
"Stock market reaches all-time high this week",REAL
"Celebrity claims drinking only water cures all diseases",FAKE
"New technology promises faster internet speeds",REAL
"Man says he time-traveled to the future",FAKE
"Scientists discover new species in Amazon rainforest",REAL
"Fake news spreads about free money from government",FAKE
"Local elections results declared officially",REAL
"Miracle pill guarantees weight loss in 2 days",FAKE
